mandature;uidconseiller;civilite;nom;prenom;groupecourt;groupepolitique;fonctionexecutif;codedepelection;depelection;listecourt;listeelectorale;datenaissance;villenaissance;profession;twitter;facebook;siteinternet;blog
18.0;ELU2;Monsieur;CAPLIEZ;Stéphane;LRI;Libres, Républicains et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;27/05/1963;;Cadre supérieur (privé);;;;
18.0;ELU78;Monsieur;D'ASTA;Nicola;E-ÎDF;Ensemble, l'Île-de-France;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;30/04/1964;Neuilly s/seine;Adjoint Administratif;@DNiko;nicola d'asta;;
18.0;ELU206;Madame;DE FREITAS-VARANDAS;Gorete;RN-ÎDF;Rassemblement national Île-de-France;;94.0;Val-de-Marne;FN 94;Front National 94;05/09/1980;Paris;Chef de mission EC;;;;
18.0;ELU30;Madame;DEROUARD;Clotilde;LRI;Libres, Républicains et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;10/09/1964;Paris;Chargée de communication;@C_derouard;clotide derouard;;
18.0;ELU172;Monsieur;DOSNE;Olivier;LRI;Libres, Républicains et Indépendants;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;20/01/1961;Pithiviers (45);Pharmacien;@DOSNEOlivier;Olivier Dosne;;olivier-dosne.fr
18.0;ELU93;Madame;GHIATI;Vanessa;FdG;Front de Gauche - Parti communiste français et République & socialisme;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;14/11/1974;Fontenay-aux-Roses;Cadre territoriale;;;;
18.0;ELU14;Madame;GROUX;Nathalie;UDI;Union des Démocrates et Indépendants;;95.0;Val-d'Oise;LUD 95;l'alternance avec Valérie Pécresse 95;23/01/1968;Stains;Fonctionnaire territorial;@grouxnathalie;Nathalie Groux;;
18.0;ELU199;Madame;GUIBERT;Audrey;RN-ÎDF;Rassemblement national Île-de-France;;91.0;Essonne;FN 91;Front National 91;07/07/1986;Nogent-sur-Marne;Assistante du chef de projet évènementiel;@audrey-guibert;;;
18.0;ELU50;Madame;JARRY-BOUABID;Anne-Claire;AES;Alternative écologiste et sociale;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;01/02/1973;Angers;Cadre Ministére des Finances;;;;
18.0;ELU102;Monsieur;JEUNEMAITRE;Eric;LRI;Libres, Républicains et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;28/05/1956;Paris;Agriculteur;;;;
18.0;ELU202;Monsieur;LACAPELLE;Jean-Lin;RN-ÎDF;Rassemblement national Île-de-France;;92.0;Hauts-de-Seine;FN 92;Front National 92;17/04/1967;Lyon;Directeur commercial;jllacapelle;Jean-Lin Lacapelle;;
18.0;ELU39;Madame;LANIESSE;Philippine;CD;Centre et des Démocrates;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;19/12/1989;Landerneau;Consultante en communication;@PhilippineLan;;;
18.0;ELU61;Monsieur;SATOURI;Mounir;AES;Alternative écologiste et sociale;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;25/05/1975;;Cadre supérieur (privé);@MounirSatouri;satouri mounir;;
18.0;ELU18;Monsieur;SOUMARE;Ali;E-ÎDF;Ensemble, l'Île-de-France;;95.0;Val-d'Oise;LUG 95;La Gauche et les Écologistes rassemblés avec Claude Bartolone 95;25/12/1980;;Autre cadre (privé);;;;
18.0;ELU82;Monsieur;TRIGANCE;Yannick;E-ÎDF;Ensemble, l'Île-de-France;;93.0;Seine-Saint-Denis;LUG 93;La Gauche et les Écologistes rassemblés avec Claude Bartolone 93;13/07/1962;Epinay sur Seine;Directeur Général Adjoint;@yannicktrigance;Yannick Trigance;;http://yannicktrigance.fr
18.0;ELU192;Madame;TROUSSARD;Béatrice;RN-ÎDF;Rassemblement national Île-de-France;;77.0;Seine-et-Marne;FN 77;Front National 77;21/01/1969;Chateau Thierry;Professeur;@chellesbleumari;Chellesbleumarine;;
18.0;ELU85;Madame;YOUSSOUF;Mélissa;E-ÎDF;Ensemble, l'Île-de-France;;93.0;Seine-Saint-Denis;LUG 93;La Gauche et les Écologistes rassemblés avec Claude Bartolone 93;14/02/1988;Villepinte (93);Employée (autres entrep. publiques);@MelissaYoussouf;;;
18.0;ELU104;Madame;BADRÉ;Marie-Pierre;LRI;Libres, Républicains et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;06/06/1945;Angers;;@mpbadre;Marie Pierre Badre;;
18.0;ELU15;Madame;BORD;Corinne;E-ÎDF;Ensemble, l'Île-de-France;;93.0;Seine-Saint-Denis;LUG 93;La Gauche et les Écologistes rassemblés avec Claude Bartolone 93;17/05/1970;Fontenay aux Roses;Conseillére technique;@Corinnebord;Corinne Bord;http://corinnebord.fr;
18.0;ELU169;Madame;CIUNTU;Marie-Carole;LRI;Libres, Républicains et Indépendants;2ème Vice-Présidente en charge des lycées et de l'administration générale;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;09/11/1964;;Avocat;;;;
18.0;ELU112;Monsieur;DOUILLET;David;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;17/02/1969;;Autre profession;;;;
18.0;ELU178;Monsieur;DOUSSET;Didier;CD;Centre et des Démocrates;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;07/06/1955;Paris;Mairie;@dousset 2014;didier dousset;;
18.0;ELU207;Monsieur;DUBOIS;Jean-Michel;RN-ÎDF;Rassemblement national Île-de-France;;95.0;Val-d'Oise;FN 95;Front National 95;27/08/1943;Enghien-les-Bains;Retraité;;;;
18.0;ELU224;Monsieur;EL HAIMER;Khattari;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;13/02/1978;Mantes la Jolie;Directeur d'association prévention spécialisée;;SIDI EL HAIMER;;
18.0;ELU59;Monsieur;HAMON;Benoît;AES;Alternative écologiste et sociale;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;26/06/1967;St Renan;;;;;
18.0;ELU188;Monsieur;JIMENEZ;Benoît;UDI;Union des Démocrates et Indépendants;;95.0;Val-d'Oise;LUD 95;l'alternance avec Valérie Pécresse 95;15/07/1989;;Employée (secteur privé);;;;
